case,channel_id,pattern,non_deepseek_majority_iso,non_deepseek_majority_votes,non_deepseek_total_votes,deepseek_flash_iso,deepseek_flash_confidence,deepseek_pro_iso,deepseek_pro_confidence,lid_consensus_status,openlid_label,glotlid_label,assessment,fixable_issue,recommendation,evidence_excerpt
1,UC074Z6v_HJorIaSyvD7oKVQ,both_or_all_deepseek_outside_other_majority,eng,6,6,hin,high,hin,high,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek likely picking up real Hindi evidence; non-DeepSeek English majority looks suspect.,"Mixed English/Hindi kids titles are summarized as Latin-dominant, hiding Devanagari share.",Add per-segment/script-share evidence to LLM prompts and de-weight generic English app/marketing description text.,"video_title[latin]: Halloween Songs, हैलोवीन गाना, Hindi Halloween Rhymes for Babies #shorts #trending #viral #cartoon | video_title[latin]: चुम्बलका चुम्बला, Chumbalaka Chumbala, Halloween Songs #shorts #spooky #halloween #scaryvideos v | video_title[latin]: Halloween Night, हेलोवीन की रात, Songs for Kids and Hindi Poems #shorts #trending #ytshorts #viral"
2,UC0O0UjNDhAy4QWmDxbejdPg,both_or_all_deepseek_outside_other_majority,eng,6,6,tam,high,tam,high,exact_model_agreement,eng_Latn,eng_Latn,"Ambiguous; DeepSeek Tamil is based on the one substantive Tamil title, while others likely follow English boilerplate.",Generic copyright/fair-use disclaimer dominates sparse channel evidence.,Strip standard copyright/fair-use boilerplate before LLM prompts and LID aggregation.,video_title[latin]: Don't Miss Last scene 😱 #trending #viralvideo #shortsfeed #shortstory #shorts #90skid #movie #review | video_title[latin]: Don't Miss Last scene 💞 #trending #viralvideo #shortsfeed #shortstory #shorts #90skid #movie #review | video_title[latin]: Don't Miss Last scene 🚑 #trending #viralvideo #shortsfeed #shortstory #shorts #90skid #movie #review
3,UC4ENbSSiQjBKS54abBPzvCw,both_or_all_deepseek_outside_other_majority,eng,6,6,spa,high,spa,high,exact_model_agreement,eng_Latn,eng_Latn,"Mixed Spanish/English; DeepSeek Spanish follows the first Spanish titles, non-DeepSeek English follows later English-heavy titles.",Segment order and small sample can overweight leading non-English titles.,Add language-share summaries/counts to prompts and flag mixed Latin-script channels when top titles split languages.,video_title[latin]: Así sacamos la madera en montes con mucha pendiente y difícil acceso. #johndeere #forest #harvester | video_title[latin]: No importa cuánto consume…importa cuánto produce 🌲 #forest #johndeere #harvester #logging #forestry | video_title[latin]: John Deere 1270G in Action: Power and Precision That Dominate the Forest #johndeere #forest #tree
4,UC9h5YEjla8WeIIsifbf84_Q,both_or_all_deepseek_outside_other_majority,eng,6,6,hin,high,hin,medium,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Hindi is plausible; titles are Bollywood/Hindi/Punjabi music terms despite Latin script.,Romanized South Asian language evidence is being treated as English by LID and several LLMs.,Add prompt guidance and post-run diagnostics for romanized Indic/South Asian cues.,video_title[latin]: Wedding Season Ka Biggest Banger!Vyah Karwado Ji Out Now ‪@tipsofficial‬Hai Jawani Toh Ishq Hona Hai | video_title[latin]: Best of Hindi Unplugged Cover Songs | Late Night Melodies | Hindi Unplugged Playlist | Hindi Songs | video_title[latin]: “Kya Kamaal Hai” is finally here 🎶✨Diljit’s soulful voice + Rahman sir’s magical music = PURE VIBES
5,UC9ig_BbkCrh1Vh20GLkh_RQ,both_or_all_deepseek_outside_other_majority,eng,5,6,urd,high,urd,medium,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Urdu follows the only meaningful Urdu/Islamic title; English majority is likely driven by repeated gadget spam.,Near-duplicate/generic English product text pollutes evidence.,Strengthen duplicate and generic-product/title filtering before prompt construction.,"video_title[latin]: Duniya ki sab se pyari awaaz 🥰 #azan #islamicvideos #islamicstutus #shortsfeed #quran #shorts #azma | video_title[latin]: lIntroducing the ""VitaWear SmartBand,"" a next-generation wearable gadget🎉lIntroducing the | video_title[latin]: lIntroducing the ""VitaWear SmartBand,"" a next-generation wearable gadget🎉lIntroducing the"
6,UCGQ1-rEcft2bUEYvCZe7-ng,both_or_all_deepseek_outside_other_majority,eng,5,6,hin,high,hin,high,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Hindi is plausible; tailoring titles/descriptions are Hinglish/Hindi.,Romanized Hindi is frequently classified as English by deterministic LID and some LLMs.,Treat romanized Hindi cue density as a review signal and include it in prompt summaries.,video_title[latin]: Single Katori Blouse Se Double Katori Blouse Kaise Banaye | Easy Cutting & Stitching Method | video_title[latin]: Wholesale Price Me Winter Suits Collection Velvet 9000 | Partywear Suits | Ladies Suits | video_title[latin]: 4 Dot Blouse Cutting | Perfect Blouse Cutting Step by Step | Easy Tailoring Tips
7,UCSXwEK86-OWEn_QF65X7c7Q,both_or_all_deepseek_outside_other_majority,eng,6,6,tel,high,tel,high,exact_model_agreement,eng_Latn,eng_Latn,"DeepSeek Telugu is plausible from Telugu film/music cues, though much text is English.",Music/film proper nouns and romanized titles can mask language.,Add guidance to distinguish natural-language usage from artist/title metadata; flag music channels with mixed cues.,video_title[latin]: It's your turn to dance to the viral #Swayambhu first single song and join the hookstep challenge | video_title[latin]: #RaRaDheevara from the epic period drama #Swayambhu | #nikhilsiddharth | #ytshorts | #newrelease | video_title[latin]: #YerraYerraCheera | #CurrentTheega | #manchumanoj | #rakulpreetsingh | #ytshorts | #shorts
8,UCVmYK_HKsF55w7PJvQgWb-A,both_or_all_deepseek_outside_other_majority,eng,6,6,rus,high,rus,medium,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Russian likely over-infers from the Cyrillic channel name; titles are English.,Channel name can dominate when other text is sparse/short.,Tell prompts not to use channel name alone to override repeated title language; expose title-vs-channel-name counts.,video_title[latin]: Why didn't I know about this before? An ingenious invention | channel_name[cyrillic]: Хитрый Мастер | video_title[latin]: A beautiful neighbor shared a trick!
9,UCWEUJ0voiukliN8OeAnCAzQ,both_or_all_deepseek_outside_other_majority,eng,4,6,ara,high,ara,high,model_disagreement_needs_review,ara_Arab,eng_Latn,DeepSeek Arabic is plausible; Arabic titles are substantive and English evidence is mostly URLs/social boilerplate.,URL/provider/social boilerplate can inflate English/Latin evidence.,Strip URLs/social handles more aggressively and prioritize natural-language title text.,video_title[arabic]: طريقه عمل فطيره البيكان | video_title[arabic]: فته بالحليب و الزبادي | video_title[arabic]: طريقه عمل مهلبية
10,UCZ2MIoWsOc-wZ1EqguR284Q,both_or_all_deepseek_outside_other_majority,eng,6,6,ben,high,ben,high,exact_model_agreement,eng_Latn,eng_Latn,DeepSeek Bengali is plausible; titles include Bangla Natok/music terms in Latin script.,Romanized Bengali content is being read as English.,Add romanized Bengali/South Asian cue handling and avoid treating named entertainment entities as English.,video_title[latin]: Ata and Tota Brothers | Full Natok | Shamim Hasan Sarkar | Samanta | Lamima | New Bangla Natok 2025 | video_title[latin]: TOMAY BOLA HOLONA (Official Music Video) | Shamim Hasan Sarkar | Prod By Ahmed Souren | video_title[latin]: Osthir Restaurant 2 || Mango Squad || Shamim Hasan Sarkar || Shahid Un Nabi || Zaki || Samanta
